0.1	-3.133483851428927
0.2	-3.14101274969636
0.30000000000000004	-3.1479355598304974
0.4	-3.155972724918206
0.5	-3.1655597466001937
0.6	-3.1771292524031445
0.7000000000000001	-3.1904259907111068
0.8	-3.205187101344106
0.9	-3.2219688800400803
1.	-3.2398537980022026
1.1	-3.2591867728627903
1.2000000000000002	-3.279940069326697
1.3000000000000003	-3.30189661576471
1.4000000000000001	-3.3248731632072523
1.5000000000000002	-3.349078025073179
1.6	-3.3738797573287345
1.7000000000000002	-3.3997819858082456
1.8000000000000003	-3.4260944485291396
1.9000000000000001	-3.4537878752214692
2.	-3.480503246559672
2.1	-3.5097887467711546
2.2	-3.5389760300137363
2.3000000000000003	-3.568031383270773
2.4000000000000004	-3.597884703285237
2.5000000000000004	-3.6290505952885823
2.6	-3.660058239138898
2.7	-3.6912810390189748
2.8000000000000003	-3.7230980131732885
2.9000000000000004	-3.755759004736229
3.0000000000000004	-3.786820348303941
3.1	-3.8201082000917386
3.2	-3.852310972555577
3.3000000000000003	-3.884757913502818
3.4000000000000004	-3.9186092518240687
3.5000000000000004	-3.9527621317056463
3.6	-3.984839824699556
3.7	-4.019114888906367
3.8000000000000003	-4.052913482280383
3.9000000000000004	-4.087773580841166
4.	-4.121093594913321
4.1	-4.15636973098597
4.2	-4.192001278711354
4.3	-4.224160137212171
4.3999999999999995	-4.261578145711397
4.5	-4.295890498580313
4.6	-4.331288794896992
4.7	-4.364870475725541
4.8	-4.400321338273989
4.9	-4.436186506984922
5.	-4.472085349627486
5.1	-4.506642661814849
5.2	-4.5429089991105425
5.3	-4.578158213963258
5.4	-4.613667487368532
5.5	-4.649986991313652
5.6	-4.686455204080337
5.7	-4.721232973415438
5.8	-4.7576658640048155
5.9	-4.795137550176265
6.	-4.830230666069179
6.1	-4.86700187718187
6.2	-4.9037773767860475
6.3	-4.938804586161055
6.4	-4.975617942509887
6.5	-5.01340111293127
6.6	-5.04856261429694
6.7	-5.086243949879933
6.8	-5.1217432576944315
6.9	-5.158093628714389
7.	-5.195591718346023
7.1	-5.232803875877641
7.2	-5.26921023640954
7.3	-5.306456416404295
7.4	-5.342394831253632
7.5	-5.378305792583685
7.6	-5.414994557354047
7.7	-5.453330235782781
7.8	-5.49122503628719
7.9	-5.525815275816118
8.	-5.5648581953819605
8.1	-5.600369255860867
8.2	-5.637742703747224
8.3	-5.676549258771955
8.4	-5.711772530860065
8.5	-5.749890656172565
8.6	-5.787184038459855
8.7	-5.8231205372031996
8.8	-5.861314205136452
8.9	-5.896858030048273
9.	-5.935796929016264
9.1	-5.9740151876749295
9.2	-6.010800081705158
9.3	-6.048063710731751
9.4	-6.0852725668716205
9.5	-6.122763131480887
9.6	-6.1594992938842745
9.700000000000001	-6.196938539101893
9.8	-6.234530268060133
9.9	-6.272941078508136
10.	-6.3091332076708735
10.1	-6.346328842544522
10.200000000000001	-6.384231810922781
10.3	-6.421444215712179
10.4	-6.458769182240284
10.5	-6.497005033689573
10.6	-6.535032586379599
10.700000000000001	-6.572278997611663
10.8	-6.609172852305476
10.9	-6.646640024009526
11.	-6.684847000277146
11.1	-6.721094673706722
11.200000000000001	-6.760523280434483
11.3	-6.798052203055822
11.4	-6.836284281187476
11.5	-6.873304372189422
11.6	-6.910677599621977
11.700000000000001	-6.94740821903345
11.8	-6.986788774463406
11.9	-7.023909172523375
12.	-7.062307183765726
12.1	-7.099095061831547
12.200000000000001	-7.137258385072942
12.3	-7.175300194852472
12.4	-7.212608988845558
12.5	-7.249561782667627
12.6	-7.2887283270108805
12.700000000000001	-7.325325362595607
12.8	-7.362460204548999
12.9	-7.401702062212694
13.	-7.43976126831554
13.1	-7.476789684388871
13.200000000000001	-7.515102514022993
13.3	-7.552700974890044
13.4	-7.590101339459011
13.5	-7.629018482698806
13.6	-7.6673963543875345
13.700000000000001	-7.7046654756435045
13.8	-7.742029386451828
13.9	-7.778958963866339
14.	-7.817151328299862
14.1	-7.855659221130982
14.200000000000001	-7.894328355626333
14.3	-7.930890589228162
14.4	-7.968308314582823
14.5	-8.006652326966034
14.6	-8.0446894788139
14.700000000000001	-8.084000984416996
14.8	-8.120737117802976
14.9	-8.158369893943469
15.	-8.195485010427122
15.1	-8.23437004240799
15.200000000000001	-8.273048809740512
15.3	-8.311937296378401
15.4	-8.348050573346308
15.5	-8.38552819886195
15.6	-8.423463459273602
15.700000000000001	-8.462001914300457
15.8	-8.500937838589365
15.9	-8.539100872964973
16.	-8.576193390115805
16.1	-8.613099428206883
16.200000000000003	-8.652088950709109
16.3	-8.690829160038412
16.400000000000002	-8.7296641728887
16.500000000000004	-8.766901496888432
16.6	-8.803103833678843
16.700000000000003	-8.842138283531597
16.8	-8.880109812799576
16.900000000000002	-8.919288047141984
17.000000000000004	-8.957175219251837
17.1	-8.9944115876873
17.200000000000003	-9.0309958507753
17.3	-9.070329390084966
17.400000000000002	-9.10793728071858
17.500000000000004	-9.147624183848555
17.6	-9.1851882676307
17.700000000000003	-9.22208241651278
17.8	-9.260616866441492
17.900000000000002	-9.2987164311164
18.000000000000004	-9.338218293161711
18.1	-9.375888529441312
18.200000000000003	-9.412953550597514
18.3	-9.449829617337393
18.400000000000002	-9.489098998471743
18.500000000000004	-9.52819540718417
18.6	-9.566423328739589
18.700000000000003	-9.604100626221715
18.8	-9.640994983250916
18.900000000000002	-9.679787927676543
19.000000000000004	-9.717483420127666
19.1	-9.755539624011666
19.200000000000003	-9.795143733148443
19.300000000000004	-9.83207367423003
19.400000000000002	-9.868685767835801
19.500000000000004	-9.90736196898479
